Monster List
name ,hp ,att ,type ,energy
x,5,5,1,1
x,5,5,3,1
x,10,5,4,1
Panblaze ,10,10,2,1
x,20,5,3,1
x,20,10,4,1
Cinnanna,20,50,2,3
Fluffish ,25,10,3,1
x,25,15,4,1
Coburn ,30,15,2,1
x,35,15,1,1
Beenite,35,20,2,1
x,35,20,4,1
Aquaterina ,40,15,3,1
Elcombust,45,15,2,1
x,45,15,4,1
Fireray ,50,20,2,2
x,50,20,3,2
x,50,20,4,2
x,55,20,3,2
Maglema,60,20,2,2
x,0,20,4,2
x,65,20,1,2
Zirroflame,65,25,2,2
x,65,50,4,3
Bearash,70,25,2,2
Whirpilina ,70,25,3,2
x,70,25,4,2
x,75,25,5,2
Autoad ,75,25,3,2
x,75,25,4,2
x,80,30,3,2
x,85,30,4,2
Hellion,90,30,2,2
Alavala ,95,30,2,2
Pengoon ,95,30,3,2
x,95,30,5,2
Arcleaf,100,40,2,2
Crabcilla ,100,40,3,2
x,100,40,4,2
x,110,40,5,2
x,110,40,4,2
Terravolcane,110,45,2,2
x,120,30,4,2
Embird,120,60,2,3
x,120,60,3,3
x,30,60,3,3
x,130,60,4,3
x,140,60,1,3
Charan ,150,60,2,3
x,150,60,3,3
x,150,60,5,3
x,175,40,4,2
x,175,60,3,3
Hydox ,200,80,3,3
Ignus ,250,80,2,3
Orretana ,300,100,1,4
Presidion ,500,125,5,4
